Item,Cost,Weight,Uses,Book,Page,Comment
Com ScramblerCom Scrambler,6000,10,-,GWGW,46,"Mounted on a backpack frame. Disrupts all communications (Comlinks, HoloNet, Droid receivers) within 20km radius. Getting a signal in or out requires a Use Computer check vs scramblers Use Computer check (+10). Check must be made every minute.Mounted on a backpack frame. Disrupts all communications (Comlinks, HoloNet, Droid receivers) within 20km radius. Getting a signal in or out requires a Use Computer check vs scramblers Use Computer check (+10). Check must be made every minute."
"Comlink Add-on, Holo CapabilityComlink Add-on, Holo Capability",x5x5,,-,CRCR,134,The comlink now have holo capability 3D images in addition to audio.The comlink now have holo capability 3D images in addition to audio.
"Comlink Add-on, Video capabilityComlink Add-on, Video capability",x2x2,,-,CRCR,134,The comlink now have holo capability 2D images in addition to audio.The comlink now have holo capability 2D images in addition to audio.
"Comlink Add-on, EncryptionComlink Add-on, Encryption",x10x10,,-,CRCR,134,Hardwired encryption routines. DC +10 on Use Computer checks to intercept transmission.Hardwired encryption routines. DC +10 on Use Computer checks to intercept transmission.
"Comlink Add-on, TightbeamComlink Add-on, Tightbeam",300,0.5,-,GWGW,46,Add-on for any comlink or transceiver. Uses special lasers to send and receive encrypted messages from another individual also equipped with a tightbeam (Must be in LOS of each other). Communication can not be intercepted unless the interceptor is in direct path between the individuals using these devices.Add-on for any comlink or transceiver. Uses special lasers to send and receive encrypted messages from another individual also equipped with a tightbeam (Must be in LOS of each other). Communication can not be intercepted unless the interceptor is in direct path between the individuals using these devices.
"Comlink, EarbudComlink, Earbud",200,,-,GIGI,66,"Tiny comlink fitted for wearers ear. Can be programmed to initiate or receive transmissions when wearer touches his ear, clicks or grinds his teeth. Grants +5 to Deception checks to hide its presence. Range 50km or low-orbit.Tiny comlink fitted for wearers ear. Can be programmed to initiate or receive transmissions when wearer touches his ear, clicks or grinds his teeth. Grants +5 to Deception checks to hide its presence. Range 50km or low-orbit."
"Comlink, Hands-freeComlink, Hands-free",150,0.1,-,LL,65,"Several sound-absorbing pads, placed on face and linked to a earpiece. Can be adjusted to pick up whispers. Functions as a short-range comlink, can not have video or holo upgrades.Several sound-absorbing pads, placed on face and linked to a earpiece. Can be adjusted to pick up whispers. Functions as a short-range comlink, can not have video or holo upgrades."
"Comlink, Long-rangeComlink, Long-range",250,1,-,CRCR,134,Backpack-sized comset. Double cost for wrist sized version. Range 200km or High-orbit.Backpack-sized comset. Double cost for wrist sized version. Range 200km or High-orbit.
"Comlink, Short-rangeComlink, Short-range",25,0.1,-,CRCR,134,"Consists of a receiver, transmitter and power source. Come in a variety of shapes and styles. Range 50km or low-orbit.Consists of a receiver, transmitter and power source. Come in a variety of shapes and styles. Range 50km or low-orbit."
Holo ConverterHolo Converter,3000,2,-,GIGI,66,"Small device attached to a holoprojector to alter outgoing signal so the users appearance and voice are disguised. Can change gender and species. 10 different personae with rotating wardrobe, grants +5 to Deception for making receiver believe that user is another person.Small device attached to a holoprojector to alter outgoing signal so the users appearance and voice are disguised. Can change gender and species. 10 different personae with rotating wardrobe, grants +5 to Deception for making receiver believe that user is another person."
Mobile Hologram Projection PodMobile Hologram Projection Pod,10 00010 000,75,-,WW,,
Panic RingPanic Ring,300,,-,GIGI,66,Variety of shapes and sizes most common a large ornamental ring with a small button (DC 25 Perception to notice) when pushed sends an encrypted emergency signal to a group designated by the wearer. Range 100km. DC 25 Mechanics check to change signal fail by 5 activates it.Variety of shapes and sizes most common a large ornamental ring with a small button (DC 25 Perception to notice) when pushed sends an encrypted emergency signal to a group designated by the wearer. Range 100km. DC 25 Mechanics check to change signal fail by 5 activates it.
Pocket Scrambler,400,0.5,-,CR,134,Add-on device that can be attached to any normal communication device. Automatically encodes any outgoing message so it can only be read by a communication device with a linked pocket scrambler. DC30 Use Computer check to decrypt message.
Portable Beacon,1500,6.8,-,UR,41,"1m long, one end pointed and a tripod. Used to send out safe landing zones, warnings, distress signals. Can only be read by sensors. 10,000km range. Reprogramming the signal requires a datapad and a DC 10 Use Computer check."
Signal Wand,300,0.2,-,UR,42,"0,25m stick. Orbital range broadband comlink, if connected to power source can reach interstellar distances but must know where to point it. Also red external light so can transmit signals such as Mon Calamari blink code."
Targeting Beacon,300,0.1,-,GW,47,"Cylindrical beacon, Magnetical and a extendable spike for attaching. Sends out a pulse of light (visible, infrared, ultraviolet). So that allies who know the proper setting can spot. DC10 Mechanics to modify. In clear weather range 2km."
"Translator, Personal",2000,0.1,-,UR,41,Portable tiny shell. Only verbal translations to owners language +3 chosen languages. Operates at the lvl of a DC 10 droid translator unit.
Visual Wrist Comm,1300,0.25,10 days,C,66,"Small, flat, rectangular panel easily attaches to a glove. Sends and receives audio and visual signals and 2D holographic images, 75km low-orbit range. Also functions as a simple datapad that stores and receives information from droids, comm signals, computers."
Vox-box,200,0.1,-,CR,134,"Simple audio playback unit with 12 preprogrammed phrases in one language, each with its own button. Altering a phrase requires a DC 10 Use Computer check and takes 1min to change."
Antitox breath mask and Protective Goggles (Kel Dor),2000,,year,CR,28,Without protective goggles they are considered blind. Without an antiox breath mask they begin to suffocate. On Dorin price is 500cr and a years supply of filters 50cr. Kel Dor character begins play with this item at no cost.
Aquata breather,350,0.2,-,CR,136,2 hours breathable air through its mouthpiece.
Breath mask,200,2,-,CR,136,Mask that fits over nose and mouth and a hose connecting the mask to a portable life support system. 1 hour breathable air and grants immunity to inhaled poisons.
"Breath mask, atmosphere canister/filter",25,1,-,CR,137,Provides 1h breathable air for a breath mask. DC 10 Mechanics check to replace canister/filter.
Flight suit,1000,3,-,CR,137,Built-In Vacuum seals. +1 Fort Def. See Armor with same name for details.
Gand breathing apparatus (Gand),2000,,year,SV,9,Without an breathing apparatus they begin to suffocate. On Gand price is 500cr and a years supply of filters 50cr. Gand character begins play with this item at no cost.
Gand Transliterator (Gand),100,,-,SV,9,"Without a Transliterator, a gand can not communicate in any language other than Gand. Gand character begins play with this item at no cost."
Propulsion Pack,200,10,10,R,127,"Designed to enhance underwater movement. Sw Action to activate, gain swim speed of 8sq (-25% sqs if not worn with stabilization fins) until end of your turn. Do not need a Sw Action on subsequent rounds of use."
Space suit,2000,15,-,CR,137,Built-In Improved Vacuum seals. +2 Fort Def. See Armor with same name for details.
Vacuum mask,650,0.3,-,K,74,Automatically begins to flow 10 mins of breathable air when sensors on the mask detect a lack of breathable air i.e. atmosphere has vented. No replacement for a space suit.
Code CylinderCode CylinderCode Cylinder,500,0.1,-,CRCRCR,134,"Compact encoded security device to access computer data or entry into restricted facilities. It is a storage device with INT 10 and Will 15 and when trying to improve attitude it starts as hostile, If fail by 5 its self-destruct program activates and ruins the cylinder.Compact encoded security device to access computer data or entry into restricted facilities. It is a storage device with INT 10 and Will 15 and when trying to improve attitude it starts as hostile, If fail by 5 its self-destruct program activates and ruins the cylinder.Compact encoded security device to access computer data or entry into restricted facilities. It is a storage device with INT 10 and Will 15 and when trying to improve attitude it starts as hostile, If fail by 5 its self-destruct program activates and ruins the cylinder."
Computer Interface VisorComputer Interface VisorComputer Interface Visor,1200,0.5,-,KKK,73,Heads-up display that when connected to a computer displays relevant data. Translates complex computer algorithms allowing wearer to attempt trained-only applications of Use Computer even if untrained. Also provides +2 on Use Computer checks. Can not be worn with helmet or any other device worn on the head.Heads-up display that when connected to a computer displays relevant data. Translates complex computer algorithms allowing wearer to attempt trained-only applications of Use Computer even if untrained. Also provides +2 on Use Computer checks. Can not be worn with helmet or any other device worn on the head.Heads-up display that when connected to a computer displays relevant data. Translates complex computer algorithms allowing wearer to attempt trained-only applications of Use Computer even if untrained. Also provides +2 on Use Computer checks. Can not be worn with helmet or any other device worn on the head.
Computer SpikesComputer SpikesComputer Spikes,1500+1500+1500+,1,-,TTT,87,"Single-use program built into a basic piece of hardware that plugs directly into another computer. Sw Action to activate, the spike makes a single Use Computer check (+2 per 1500cr cost) that can only be used to improve access. Considered illegal.Single-use program built into a basic piece of hardware that plugs directly into another computer. Sw Action to activate, the spike makes a single Use Computer check (+2 per 1500cr cost) that can only be used to improve access. Considered illegal.Single-use program built into a basic piece of hardware that plugs directly into another computer. Sw Action to activate, the spike makes a single Use Computer check (+2 per 1500cr cost) that can only be used to improve access. Considered illegal."
"Computer, BracerComputer, BracerComputer, Bracer",1300,0.5,-,CCC,65,Datapad worn on forearm. Holographic 2D display and designed for one hand typing. Int 12Datapad worn on forearm. Holographic 2D display and designed for one hand typing. Int 12Datapad worn on forearm. Holographic 2D display and designed for one hand typing. Int 12
"Computer, PortableComputer, PortableComputer, Portable",5000,2,-,CRCRCR,136,Compact enough to be carried in a attaché case or backpack. INT 14.Compact enough to be carried in a attaché case or backpack. INT 14.Compact enough to be carried in a attaché case or backpack. INT 14.
"Computer, Xcalq Portable ""Slicer Special""Computer, Xcalq Portable ""Slicer Special""Computer, Xcalq Portable ""Slicer Special""",7500,2,-,LLL,140,"When used to slice Galactic Alliance systems, opposing system is automatically treated as friendly or helpful, granting +3 on all Use Computer checks made with that computer. INT 14.When used to slice Galactic Alliance systems, opposing system is automatically treated as friendly or helpful, granting +3 on all Use Computer checks made with that computer. INT 14.When used to slice Galactic Alliance systems, opposing system is automatically treated as friendly or helpful, granting +3 on all Use Computer checks made with that computer. INT 14."
Credit ChipCredit ChipCredit Chip,100,0.1,-,CRCRCR,134,"Small flat card. Can hold a specified number of credits or connected to an account. INT 10 and Will 15 (starts as hostile), If fail by 5 the chip is ruined. When friendly attitude you can withdraw credits from the chip. Modifying so that bank thinks it draws from another account or change the value stored Will 30 (starts as hostile) do not know if you succeeded until you attempt to use it. If fail it self-destructs. If fail by 5, it also traced your location and dispatched security personal.Small flat card. Can hold a specified number of credits or connected to an account. INT 10 and Will 15 (starts as hostile), If fail by 5 the chip is ruined. When friendly attitude you can withdraw credits from the chip. Modifying so that bank thinks it draws from another account or change the value stored Will 30 (starts as hostile) do not know if you succeeded until you attempt to use it. If fail it self-destructs. If fail by 5, it also traced your location and dispatched security personal.Small flat card. Can hold a specified number of credits or connected to an account. INT 10 and Will 15 (starts as hostile), If fail by 5 the chip is ruined. When friendly attitude you can withdraw credits from the chip. Modifying so that bank thinks it draws from another account or change the value stored Will 30 (starts as hostile) do not know if you succeeded until you attempt to use it. If fail it self-destructs. If fail by 5, it also traced your location and dispatched security personal."
Darth Krayt's HolocronDarth Krayt's HolocronDarth Krayt's Holocron,,,-,LLL,53,
"Datacards, Blank (10)Datacards, Blank (10)Datacards, Blank (10)",10,0.1,-,CRCRCR,136,Simple storage device intended solely for external storage for a computer. INT 2.Simple storage device intended solely for external storage for a computer. INT 2.Simple storage device intended solely for external storage for a computer. INT 2.
DatapadDatapadDatapad,1000,0.5,-,CRCRCR,136,"Handheld personal computer serve as notebooks, planners, calculators, sketchpads. Can interface with a larger computer network directly or via comlink. INT 12.Handheld personal computer serve as notebooks, planners, calculators, sketchpads. Can interface with a larger computer network directly or via comlink. INT 12.Handheld personal computer serve as notebooks, planners, calculators, sketchpads. Can interface with a larger computer network directly or via comlink. INT 12."
"Datapad, BasicDatapad, BasicDatapad, Basic",100,0.3,-,CRCRCR,136,"Storage device with display, input and editing capability. Can not run programs. Int 10.Storage device with display, input and editing capability. Can not run programs. Int 10.Storage device with display, input and editing capability. Can not run programs. Int 10."
HiBaka 2000 Mem-StikHiBaka 2000 Mem-StikHiBaka 2000 Mem-Stik,50,---,-,TTT,87,"Fine Size. Used to smuggle valuable information. Enough memory to carry a program, text, images and 1min of video data. Can be hidden inside a power pack slot of a standard blaster (+10 to Stealth checks to hide the Mem-Stik).Fine Size. Used to smuggle valuable information. Enough memory to carry a program, text, images and 1min of video data. Can be hidden inside a power pack slot of a standard blaster (+10 to Stealth checks to hide the Mem-Stik).Fine Size. Used to smuggle valuable information. Enough memory to carry a program, text, images and 1min of video data. Can be hidden inside a power pack slot of a standard blaster (+10 to Stealth checks to hide the Mem-Stik)."
"Holoprojector, PersonalHoloprojector, PersonalHoloprojector, Personal",1000,0.5,-,CRCRCR,136,Handheld personal hologram transmitter. To view real-time or recorded 3D images or pass the information via comlink. INT 2. Memory for 1 hour holo recording or 1000 holo images.Handheld personal hologram transmitter. To view real-time or recorded 3D images or pass the information via comlink. INT 2. Memory for 1 hour holo recording or 1000 holo images.Handheld personal hologram transmitter. To view real-time or recorded 3D images or pass the information via comlink. INT 2. Memory for 1 hour holo recording or 1000 holo images.
LectrotickerLectrotickerLectroticker,1500,1,-,TTT,87,"Small electronic device used to bypass electronic locks. Sw Action to activate, the lectroticker makes a single Mechanics check (+2 per 1500cr cost) to disable an electronic lock. Considered illegal.Small electronic device used to bypass electronic locks. Sw Action to activate, the lectroticker makes a single Mechanics check (+2 per 1500cr cost) to disable an electronic lock. Considered illegal.Small electronic device used to bypass electronic locks. Sw Action to activate, the lectroticker makes a single Mechanics check (+2 per 1500cr cost) to disable an electronic lock. Considered illegal."
Spacer's ChestSpacer's Chest,200,10,-,SVSV,52,Store possessions or even a person. Consumables for 1 person for 10days. Electronic licking mechanism that has a Will Def of 30.Store possessions or even a person. Consumables for 1 person for 10days. Electronic licking mechanism that has a Will Def of 30.
Triangulation VisorTriangulation Visor,1400,0.5,-,GWGW,47,"Heads-up display to help wielders that fire solid rounds to account for wind, gravity, distance and other effects. Reduces range category by 1. Can not be worn with helmet or any other device worn on the head.Heads-up display to help wielders that fire solid rounds to account for wind, gravity, distance and other effects. Reduces range category by 1. Can not be worn with helmet or any other device worn on the head."
Xcalq Stealth PackXcalq Stealth Pack,1500,,-,LL,141,"Software package. When another character attempts to locate, isolate or cut off your computer you gain +5 on the opposed Use Computer check.Software package. When another character attempts to locate, isolate or cut off your computer you gain +5 on the opposed Use Computer check."
ABC ScramblerABC Scrambler,3000,3,-,SVSV,52,"Worn on belt or attached to suit of armor and emits a false audio, biological and chemical signal to confuse missile guidance systems. +5 deflection bonus to Ref Def against grenade launchers and missile launchers.Worn on belt or attached to suit of armor and emits a false audio, biological and chemical signal to confuse missile guidance systems. +5 deflection bonus to Ref Def against grenade launchers and missile launchers."
Aural amplifierAural amplifier,2000,0.5,-,KK,73,"Worn on the head, amplifying sound waves from the direction of the wearers interest while dampening ambient noise. +5 on Perception checks when eavesdropping. Can not be worn with helmet or any other device worn on the head.Worn on the head, amplifying sound waves from the direction of the wearers interest while dampening ambient noise. +5 on Perception checks when eavesdropping. Can not be worn with helmet or any other device worn on the head."
"Aural amplifier, AmbientAural amplifier, Ambient",3000,0.5,-,RR,51,Improved smaller version. Runs on body heat. +5 to Perception when eavesdropping or to hear distant or ambient noises.Improved smaller version. Runs on body heat. +5 to Perception when eavesdropping or to hear distant or ambient noises.
Camouflage nettingCamouflage netting,6000,40,-,CC,65,Takes a FR Action and two people to deploy. Provides cover for a 6x6sq area and +5 bonus to all Stealth checks while under netting and partial concealment.Takes a FR Action and two people to deploy. Provides cover for a 6x6sq area and +5 bonus to all Stealth checks while under netting and partial concealment.
"Camouflage netting, poweredCamouflage netting, powered",6000,40,-,CC,65,Takes a FR Action and two people to deploy. Provides cover for a 6x6sq area and +10 bonus to all Stealth checks while under netting and partial concealment.Takes a FR Action and two people to deploy. Provides cover for a 6x6sq area and +10 bonus to all Stealth checks while under netting and partial concealment.
Communication scannerCommunication scanner,1000,1,-,GWGW,46,"Datapad-sized device used to intercept, analyze, decode and record comlink, transceiver, HoloNet transmissions. Unencrypted broadcasts are automatically picked up. DC 15 Use Computer to determine number and type of comm being broadcasted and received within a 50km radius, DC 20 for direction and distance. +5 on decipher encrypted messages that it receives. Also it functions as a Recording unit for the transmissions it intercepts.Datapad-sized device used to intercept, analyze, decode and record comlink, transceiver, HoloNet transmissions. Unencrypted broadcasts are automatically picked up. DC 15 Use Computer to determine number and type of comm being broadcasted and received within a 50km radius, DC 20 for direction and distance. +5 on decipher encrypted messages that it receives. Also it functions as a Recording unit for the transmissions it intercepts."
Decoy GlowrodDecoy Glowrod,100,4,-,FF,101,"Fully functional glowrod with a hallowed-out handle. 3kg of equipment, no one piece larger than Diminutive in size. Grants +10 on Stealth checks to hide the item.Fully functional glowrod with a hallowed-out handle. 3kg of equipment, no one piece larger than Diminutive in size. Grants +10 on Stealth checks to hide the item."
Demolitions sensorDemolitions sensor,1000,0.5,-,KK,73,Goggles that can detect explosives. +5 on Perception checks made to find mines and other planted explosives. Can not be worn with helmet or any other device worn on the head.Goggles that can detect explosives. +5 on Perception checks made to find mines and other planted explosives. Can not be worn with helmet or any other device worn on the head.
ElectrobinocularsElectrobinoculars,1000,1,-,CRCR,136,Grants Darkvision. Reduces range penalty on Perception to -1 per 10 sq (-5 per 10sq normally).Grants Darkvision. Reduces range penalty on Perception to -1 per 10 sq (-5 per 10sq normally).
Fusion lanternFusion lantern,25,2,-,CRCR,136,Hand-held. Produces light (6sq radius) and heat.Hand-held. Produces light (6sq radius) and heat.
Geological compressorGeological compressor,2000,,-,JJ,57,Used to make own lightsaber crystals.Used to make own lightsaber crystals.
Glow rodGlow rod,10,1,-,CRCR,136,Portable illumination device. Projects a beam of light up to 6sq.Portable illumination device. Projects a beam of light up to 6sq.
Halo lamp,30,1,-,C,66,Pocket-sized disc fits in a palm of a Human hand. 3-sq light radius. No heat.
Heat Sensor,250,0.2,-,T,37,"Monitors air temp up to 100m and presents color-coded readings on a small screen. +2 to Perception checks to detect hidden creatures, machines or hazards that generate heat."
Holoshroud,25 000,0.5,-,F,101,Advanced holoprojector. Created nearly perfect visual illusion over wearer. Store 1 image to disguise wearer (DC 15 Use Computer to change image). Grants +10 on Deception checks made to produce a deceptive appearance that matches the image. Sw Action to turn on/off.
Microlab,1800,0.8,-,UR,41,"Handheld portable laboratory for analyzing substances. Quick identification of a material and you can not wait for the results of a full analysis. DC 15 Knowledge (Physical sciences) to complete examination, results are displayed on the devices small screen."
Motion sensing visor,2500,0.5,-,K,74,Tracks movement and highlights moving objects with color-coded warnings. +5 on Perception checks against targets that have moved atleast 1sq since the end of the wearers last turn. Wearer must spend 2 additional Sw Actions when using the Recovery Action. Can not be worn with helmet or any other device worn on the head.
Neural band,3500,0.5,-,K,74,Reinforces various synapses throughout the brain. Granting +2 to Will Def but -2 on DT. Can not be worn with helmet or any other device worn on the head.
Proximity flare,50,0.5,-,GW,47,"Small cylinder with a spike on the bottom. When any Small or larger character, creature, droid or vehicle comes within a 3sq radius, the flare launches creating a bright light illuminating a 10sq radius. Can avoid tripping it by making a DC 25 Stealth check."
Radiation detector,20,,-,GW,47,Worn on wrist or on the front of armor or uniforms. Alerts the used (vibrating or audible alarm) to the presence of radiation within 6 squares.
"Recording unit, Audiorecorder",25,0.1,-,CR,136,"Recorder with a playback feature. INT 1 and 1 Memory unit. DC 15 Use Computer check to modify a recording (edit, erase or rearrange order of events) To notice tampering (Perception if observing, Use Computer if inspecting data) vs. your Use Computer check. If modifying without first uploading data to a computer add units INT mod to the check (-5). 100 hours of high-quality sound."
"Recording unit, Holorecorder",100,0.1,-,CR,136,"See Recording unit, Audiorecorder. 1 hour of high-quality holos."
"Recording unit, Videorecorder",50,0.1,-,CR,136,"See Recording unit, Audiorecorder. 10 hours of high-quality video."
Sensor pack,1500,9,-,CR,136,"Portable, bulky rectangle with dials, switches, display and scanning dish. Provides general details on comm signals, life forms and hazards within 1km. S Action to operate +5 circumstance bonus on your Perception checks until the end of your next turn."
Sonar mapper,400,1,-,UR,42,"Specialized sensor system emits sonar pulses at regular intervals, mapping an area though echolocation. Used when a standard sensor pack does not work. Range 100m. Can record up to 12h of readings, making a good backup map if user becomes lost."
Sound sponge,3500,1,-,F,102,"Small electronic device emits sound waves above and below normal hearing range. Muffles all sound in 6sq radius, Increases Perception check DC to hear noises by 10 in area."
Spy bug,1300,0.5,-,L,66,"Diminutive bioengineered insect that records sight and sound within 20sqs. Functions as a holorecorder unit but when retrieved the past 24h can be extracted. DC 25 Mechanics check to retrieve data via normal electronic devices. It registers as a life form on sensors, not as an electronic device."
Stealth field generator,5000,0.2,5,K,74,"Small unobtrusive device worn on the belt. Emits a sound-dampening field and bend light around the wearer. Sw Action to activate and grants concealment (but not total concealment) when activated and lasts until end of encounter, until wearer takes dmg or until wearer atks or uses a force power, whichever comes first."
Surveillance Detector,450,0.5,-,GI,67,"Small, handheld device that scans area for eavesdropping devices and surveillance taggers. +10 to Perception checks for locating active and passive surveillance devices within 6sq. Can be set to display or emit an alarm when such attempts are detected."
Surveillance Tagger,450,0.5,-,GI,67,"Tiny unassuming tube containing a Fine sized dart. When fired it attaches itself to target (successful ranged atk, 6sq range) and activates a homing beacon. Range of 1km and enough power to transmit for 40hours. -20 on Perception to notice dart. Track movements with a DC10 Use computer check and a datapad or similar."
Ultraviolet visor (Defel),2000,,-,GI,12,Visors that allow Defels whom only see ultraviolet to see in normal light. Without them they are considered blind. Defel character begins play with this item at no cost.
Veridicator,4000,0.1,-,GI,67,"Bracelet, monitors vitals of a target within 6sq and determining if the target is lying, transmits the information back to the wearer as a series of vibrations. Needs 1 round to gather information then provides a +5 bonus on Perception checks for the purpose of sensing deception, influence or for gambling against other players (like Sabacc). Programmed for only one species at a time (DC 10 Use computer check to change species)."
Vid-Vox Scrambler,3400,0.5,1 week,GI,67,"Tiny handheld. Scrambles all audio, video, holographic surveillance in sq and adjacent sqs. DC 30 Use Computer or Perception to pick up only scattered words and phrases."
BioscannerBioscanner,3500,0.5,-,CC,65,Handheld scanner used to help diagnose medical conditions in their patients. Displays vital statistics and analyzes and diagnoses any anomalies. +2 bonus on all Knowledge (Life sciences) checks made to indentify ailments.Handheld scanner used to help diagnose medical conditions in their patients. Displays vital statistics and analyzes and diagnoses any anomalies. +2 bonus on all Knowledge (Life sciences) checks made to indentify ailments.
Bacta tank (empty)Bacta tank (empty),100000,500,-,CRCR,137,"Specialized tank. Can be used in conjunction with surgery, If success patient heals an additional HP equal to its CL. Provides +5 on Treat Injury checks when treating disease, poison or radiation in a creature. Holds 300L and must have atleast 150L in it to work.Specialized tank. Can be used in conjunction with surgery, If success patient heals an additional HP equal to its CL. Provides +5 on Treat Injury checks when treating disease, poison or radiation in a creature. Holds 300L and must have atleast 150L in it to work."
"Bacta, 1 literBacta, 1 liter",100,2,-,CRCR,137,Powerful healing agent which promotes rapid healing. 1 hour treatment consumes 1 liter.Powerful healing agent which promotes rapid healing. 1 hour treatment consumes 1 liter.
Medical kitMedical kit,600,20,-,CRCR,138,"Backpack sized. Includes everything a first responder needs to save a life. Diagnostic scanner, anti-venom, medicine to countereract effects of contaminated water, radiation, burn treatments, defibrillator, respirator, shock blankets, pressure cuffs, repulsorlist stretcher (160kg load) and limited surgical tools, 6 external storage pouches. You need a medical kit to use Revive, Treat Disease, Poison, Radiation, Acid applications of the Treat Injury skill (CR 74).Backpack sized. Includes everything a first responder needs to save a life. Diagnostic scanner, anti-venom, medicine to countereract effects of contaminated water, radiation, burn treatments, defibrillator, respirator, shock blankets, pressure cuffs, repulsorlist stretcher (160kg load) and limited surgical tools, 6 external storage pouches. You need a medical kit to use Revive, Treat Disease, Poison, Radiation, Acid applications of the Treat Injury skill (CR 74)."
MedpacMedpac,100,1,-,CRCR,138,"Compact packages that contains bandages, bacta, synthetic flesh, coagulants, stimulants and other medicines designed to help an injured patient recover quickly. Once used it if expended. Needed to use First Aid application of the Treat Injury skill.Compact packages that contains bandages, bacta, synthetic flesh, coagulants, stimulants and other medicines designed to help an injured patient recover quickly. Once used it if expended. Needed to use First Aid application of the Treat Injury skill."
Surgery kitSurgery kit,1000,10,-,CRCR,138,"Needed to use install Cybernetic Prosthesis, Heal Damage applications of the Treat Injury skill. (CR 74 for details).Needed to use install Cybernetic Prosthesis, Heal Damage applications of the Treat Injury skill. (CR 74 for details)."
Antitoxin PatchAntitoxin Patch,25,,dayday,GIGI,66,"Adhesive patch applied near the stomach that emits a low dose of antitoxin, giving wearer a +10 to Fort Def against ingested poisons and +5 to fort Def against inhaled poisons. Lasts for 24h. For each consecutive day that an antitoxin patch is worn, target moves 1 step down CT.Adhesive patch applied near the stomach that emits a low dose of antitoxin, giving wearer a +10 to Fort Def against ingested poisons and +5 to fort Def against inhaled poisons. Lasts for 24h. For each consecutive day that an antitoxin patch is worn, target moves 1 step down CT."
Toxin DetectorToxin Detector,700,0.5,-,GIGI,67,Tiny handheld device scans food and drink to determine if it is spoiled or contains poison. S Action to use. Range 1sq and contains data for up to 100 species. Can be set to blink (green/red) or vibrate slightly when a toxin is detected. For +100 credits it can be disguised as a bracelets or piece of jewelry.Tiny handheld device scans food and drink to determine if it is spoiled or contains poison. S Action to use. Range 1sq and contains data for up to 100 species. Can be set to blink (green/red) or vibrate slightly when a toxin is detected. For +100 credits it can be disguised as a bracelets or piece of jewelry.
Anti-rad doseAnti-rad dose,50,,-,GWGW,45,Comes in a tough hypodermic syringe. Grants +10 to Fort Def against radiation and +5 to Treat Injury checks made to cure dmg caused by radiation.Comes in a tough hypodermic syringe. Grants +10 to Fort Def against radiation and +5 to Treat Injury checks made to cure dmg caused by radiation.
